ds,unique_id,y
1924-01-01,División hombres,149.66666666666666
1925-01-01,División hombres,153.0
1926-01-01,División hombres,145.66666666666666
1927-01-01,División hombres,160.36666666666667
1928-01-01,División hombres,157.11666666666667
1929-01-01,División hombres,153.13333333333333
1930-01-01,División hombres,154.8
1931-01-01,División hombres,166.75
1932-01-01,División hombres,153.6
1933-01-01,División hombres,151.01666666666668
1934-01-01,División hombres,152.88333333333333
1935-01-01,División hombres,152.11666666666667
1936-01-01,División hombres,153.66666666666666
1937-01-01,División hombres,153.33333333333334
1938-01-01,División hombres,155.56666666666666
1939-01-01,División hombres,148.85
1940-01-01,División hombres,148.46666666666667
1941-01-01,División hombres,150.63333333333333
1942-01-01,División hombres,146.85
1943-01-01,División hombres,148.41666666666666
1944-01-01,División hombres,151.83333333333334
1945-01-01,División hombres,150.66666666666666
1946-01-01,División hombres,149.45
1947-01-01,División hombres,145.65
1948-01-01,División hombres,151.03333333333333
1949-01-01,División hombres,151.83333333333334
1950-01-01,División hombres,152.65
1951-01-01,División hombres,147.75
1952-01-01,División hombres,151.88333333333333
1953-01-01,División hombres,138.85
1954-01-01,División hombres,140.65
1955-01-01,División hombres,138.36666666666667
1956-01-01,División hombres,134.23333333333332
1957-01-01,División hombres,140.08333333333334
1958-01-01,División hombres,145.9
1959-01-01,División hombres,142.7
1960-01-01,División hombres,140.9
1961-01-01,División hombres,143.65
1962-01-01,División hombres,143.8
1963-01-01,División hombres,138.96666666666667
1964-01-01,División hombres,139.98333333333332
1965-01-01,División hombres,136.55
1966-01-01,División hombres,137.18333333333334
1967-01-01,División hombres,135.75
1968-01-01,División hombres,142.28333333333333
1969-01-01,División hombres,133.81666666666666
1970-01-01,División hombres,130.5
1971-01-01,División hombres,138.75
1972-01-01,División hombres,135.65
1973-01-01,División hombres,136.05
1974-01-01,División hombres,133.65
1975-01-01,División hombres,129.91666666666666
1976-01-01,División hombres,140.31666666666666
1977-01-01,División hombres,134.76666666666668
1978-01-01,División hombres,130.21666666666667
1979-01-01,División hombres,129.45
1980-01-01,División hombres,132.18333333333334
1981-01-01,División hombres,129.43333333333334
1982-01-01,División hombres,128.86666666666667
1983-01-01,División hombres,129.0
1984-01-01,División hombres,130.56666666666666
1985-01-01,División hombres,134.08333333333334
1986-01-01,División hombres,127.85
1987-01-01,División hombres,131.83333333333334
1988-01-01,División hombres,128.71666666666667
1989-01-01,División hombres,129.1
1990-01-01,División hombres,128.31666666666666
1991-01-01,División hombres,131.1
1992-01-01,División hombres,128.23333333333332
1993-01-01,División hombres,129.55
1994-01-01,División hombres,127.25
1995-01-01,División hombres,129.36666666666667
1996-01-01,División hombres,129.25
1997-01-01,División hombres,130.56666666666666
1998-01-01,División hombres,127.56666666666666
1999-01-01,División hombres,129.86666666666667
2000-01-01,División hombres,129.78333333333333
2001-01-01,División hombres,129.71666666666667
2002-01-01,División hombres,129.03333333333333
2003-01-01,División hombres,130.18333333333334
2004-01-01,División hombres,130.61666666666667
2005-01-01,División hombres,131.75
2006-01-01,División hombres,127.23333333333333
2007-01-01,División hombres,134.21666666666667
2008-01-01,División hombres,127.76666666666667
2009-01-01,División hombres,128.7
2010-01-01,División hombres,125.86666666666666
2011-01-01,División hombres,123.03333333333333
2012-01-01,División hombres,132.66666666666666
2013-01-01,División hombres,130.36666666666667
2014-01-01,División hombres,128.61666666666667
2015-01-01,División hombres,129.28333333333333
2016-01-01,División hombres,132.75
2017-01-01,División hombres,129.61666666666667
2018-01-01,División hombres,135.96666666666667
2019-01-01,División hombres,127.95
